,place_id,interpolated_tract_miles_traveled
197,114350412,8827256.364728376
198,114357074,18899012.0784835
199,114361346,63306988.052717716
200,114361820,9871.769041096786
201,114362078,310627.833719242
202,114362413,324952.1586967964
203,114369722,3321518.864396448
204,114373593,1374141174.9711342
205,114375255,20543677.920856602
206,114382619,347004.2426075121
207,114394357,299774.53980063216
208,114399795,133496.49050234896
209,114401487,113588.40864808534
210,114405075,22075647.192276623
211,114409538,77878858.92088464
212,114410814,1840416.096567122
213,114432541,892972.3298842125
214,114435590,56671322.47815265
215,114439259,331375.85307044885
216,114442400,439446.3378960487
217,114447152,23247.21658565703
218,114448392,51868.813046926596
219,114448487,2768236.820900223
220,114455643,7609.660823778106
221,114455745,3926463.7917948286
222,114455812,489317.980735491
223,114456934,1216751.1827283865
224,114460397,912107202.0768217
